Y,NFM,gender,age,ethnicity,religion,FRI,education,ES,EBH,EBU,major,GI,LI,PI,Height,Weight,health,HI,depression,HRI,TEC,AC,STP,SDP,SEP,APS,AES,AHS,ECR,UGST,CI,PNCE,MLU,PFS,PRF,AP,WA,HIG,TAHI,MS,15M_City,FNB,FNR,UFSC,ECK,ESK,FACEI,UW_RNR,REnth,EPPD,EPSP,APIC,WPIC,EWIC,TFC,EPP,ILE,EPK,WWGD,UGCCI,ESA,EAI
3,3,2,39,1,1,2,11,4,2,1,2,60000,60000,1,172,122,4,4,4,1,0,0,4,2,3,3,1,3,4,2,4,1,1,3,2,0,0,0,200000,3,0,0,0,3,3,3,2,3,4,3,4,2,1,2,18,0,4,2,1,2,1,6
2,3,2,67,1,1,1,6,4,5,0,0,50000,0,4,165,140,4,4,4,3,0,3,4,5,2,3,3,1,3,4,3,2,2,2,1,0,0,0,200000,3,0,0,0,1,2,2,4,3,3,3,4,1,2,1,15,0,4,1,1,10,1,6
0,1,2,63,1,1,1,6,4,5,0,0,36000,0,1,155,120,3,1,3,4,9997,0,3,1,4,3,1,3,3,5,3,1,1,1,3,0,0,0,120000,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0
0,1,2,87,1,1,1,0,4,6,6,14,63034,63034,4,152,150,4,2,2,3,0,0,5,5,4,1,1,1,2,1,3,2,2,1,1,0,0,0,63034,7,2,2,0,0,0,0,1,0,0,0,1,0,0,0,20,11,0,0,0,0,0,0
0,2,2,56,1,1,1,12,4,1,1,2,130000,130000,4,160,105,3,3,2,4,9997,0,3,3,4,3,2,3,4,4,4,2,3,3,4,5,3,3,288000,3,2,2,0,0,0,0,1,0,0,0,1,0,0,0,23,12,0,0,0,0,0,0
0,2,2,52,1,1,1,13,4,1,1,2,200000,200000,1,166,112,5,3,5,6,0,0,3,3,4,4,2,3,1,2,2,3,1,3,3,0,2,3,300000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0
5,3,2,25,1,1,1,12,1,4,3,12,10000,10000,2,160,88,5,5,5,2,9998,9,3,4,3,5,1,5,4,1,5,2,1,1,5,0,0,0,10000000,1,0,0,0,5,1,3,3,1,1,5,4,3,3,3,16,0,10,1,1,0,1,6
0,0,1,67,1,1,1,4,4,0,0,0,30000,0,1,170,130,3,4,2,7,0,0,4,2,5,3,1,1,4,4,5,1,1,5,4,0,0,0,30000,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0
0,3,2,83,1,1,1,4,3,0,0,0,60000,0,4,158,110,4,5,5,4,1958,3,5,4,5,1,1,1,2,2,1,1,2,1,4,0,0,0,240000,7,1,2,0,0,0,0,1,0,0,0,1,0,0,0,22,12,0,0,0,0,0,0
0,2,2,78,1,14,3,3,2,0,0,0,69000,69000,1,146,124,3,5,5,3,0,5,5,2,1,1,1,1,3,5,2,1,1,3,2,0,0,0,10000000,6,2,2,0,0,0,0,1,0,0,0,1,0,0,0,22,5,0,0,0,0,0,0
